[2022-09-22 09:43:38] [INFO    ] discord.client: logging in using static token
[2022-09-22 09:43:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2022-09-22 09:43:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1020591679008415814', 'username': 'nerd-bot', 'avatar': None, 'avatar_decoration': None, 'discriminator': '4992', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'banner_color': None, 'accent_color': None, 'bio': '', 'locale': 'en-US', 'mfa_enabled': True, 'email': None, 'verified': True}
[2022-09-22 09:43:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2022-09-22 09:43:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1020591679008415814', 'name': 'nerd-bot', 'icon': None, 'description': '', 'summary': '', 'type': None, 'hook': True, 'bot_public': True, 'bot_require_code_grant': False, 'verify_key': '65b503826e34ed8f0648dca03c33ce946f0e1049a839d5529aa416a7a6c2c4bb', 'owner': {'id': '291477074236014593', 'username': 'KOTEMAN123', 'avatar': 'f3a848d0933fcfda53042612e77069d2', 'avatar_decoration': None, 'discriminator': '0706', 'public_flags': 128, 'flags': 128}, 'flags': 524288, 'team': None}
[2022-09-22 09:43:39] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2022-09-22 09:43:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-c-bgmc",{"micros":0.0}]']}}
[2022-09-22 09:43:39] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2022-09-22 09:43:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2022-09-22 09:43:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'nerd-bot', 'mfa_enabled': True, 'id': '1020591679008415814', 'flags': 0, 'email': None, 'discriminator': '4992', 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '065f8facc04da476a42db56d3a7196fb', 'resume_gateway_url': 'wss://gateway.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '472357061267816468'}, {'unavailable': True, 'id': '802182206071767081'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['finland', 'st-pete', 'stockholm', 'russia', 'rotterdam'], 'application': {'id': '1020591679008415814', 'flags': 524288}, '_trace': ['["gateway-prd-us-east1-c-bgmc",{"micros":117144,"calls":["id_created",{"micros":742,"calls":[]},"session_lookup_time",{"micros":168,"calls":[]},"session_lookup_finished",{"micros":8,"calls":[]},"discord-sessions-blue-prd-2-158",{"micros":115202,"calls":["start_session",{"micros":91651,"calls":["discord-api-6b594f7d6d-htvmj",{"micros":82732,"calls":["get_user",{"micros":26638},"get_guilds",{"micros":9526},"send_scheduled_deletion_message",{"micros":39},"guild_join_requests",{"micros":219},"authorized_ip_coro",{"micros":12}]}]},"starting_guild_connect",{"micros":27,"calls":[]},"presence_started",{"micros":215,"calls":[]},"guilds_started",{"micros":105,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":23178,"calls":[]},"connect_finished",{"micros":23183,"calls":[]},"build_ready",{"micros":18,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":1,"calls":[]},"clean_ready",{"micros":0,"calls":[]}]}]}]']}}
[2022-09-22 09:43:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
